topic_number,topic_mix
48,"0.133*""cloud-computing"" + 0.118*""big-data"" + 0.107*""opensource"" + 0.051*""nosql"" + 0.047*""database-development"" + 0.040*""databasepro"" + 0.039*""newtech"" + 0.029*""softwaredev"" + 0.026*""sql"" + 0.026*""drupal"""
49,"0.107*""software-qa-and-testing"" + 0.097*""test-automation"" + 0.078*""test-driven-development"" + 0.062*""software-testing"" + 0.059*""agile-testing"" + 0.047*""quality-assurance"" + 0.047*""software-quality"" + 0.044*""softwaredev"" + 0.028*""agile-project-management"" + 0.027*""load-testing-and-performance"""
50,"0.079*""real-estate-investors"" + 0.072*""real-estate-investing"" + 0.067*""property"" + 0.064*""property-networking"" + 0.060*""making-money-with-rental-property"" + 0.058*""property-investors-network"" + 0.056*""rental-property-investments"" + 0.053*""property-developing"" + 0.053*""real-estate-investment-education"" + 0.051*""property-management"""
51,"0.090*""makers"" + 0.072*""electronics"" + 0.065*""makerspaces"" + 0.064*""hacking"" + 0.063*""robotics"" + 0.062*""arduino"" + 0.044*""3d-printing"" + 0.033*""social-dancing"" + 0.032*""raspberry-pi"" + 0.029*""diy"""
52,"0.129*""new-product-development-software-tech"" + 0.091*""productdesign"" + 0.082*""product-development"" + 0.078*""product-management"" + 0.051*""software-product-management"" + 0.040*""innovation"" + 0.033*""embedded-systems"" + 0.024*""user-experience"" + 0.021*""newtech"" + 0.016*""product-marketing"""
53,"0.053*""django"" + 0.043*""walking-tours"" + 0.039*""community"" + 0.037*""historical-tours"" + 0.032*""real-life-uses-of-aws-and-cloud-servers"" + 0.030*""cto"" + 0.027*""urbanexplor"" + 0.023*""intellectualprop"" + 0.019*""voip-and-technology"" + 0.019*""ip-telephony"""
54,"0.086*""writing"" + 0.045*""musicians"" + 0.044*""creative-writing"" + 0.038*""boston-artists"" + 0.027*""novel-writing"" + 0.025*""screenwriters"" + 0.023*""chinese-culture"" + 0.023*""chinese-language"" + 0.021*""customerservice"" + 0.020*""customer-satisfaction"""
55,"0.107*""gamedev"" + 0.086*""game-design"" + 0.053*""gameprog"" + 0.052*""unity"" + 0.046*""videogame"" + 0.044*""video-game-development"" + 0.038*""indie-games"" + 0.036*""video-game-design"" + 0.035*""data-science-using-python"" + 0.030*""games"""
56,"0.109*""financial-education"" + 0.100*""financial-freedom"" + 0.075*""wealth-creation"" + 0.066*""investing"" + 0.053*""retirement"" + 0.052*""entrepreneurship"" + 0.047*""financial-planning"" + 0.043*""financial-independence"" + 0.041*""cashflow"" + 0.032*""money"""
57,"0.041*""german"" + 0.038*""expatgerman"" + 0.030*""improv"" + 0.029*""language"" + 0.028*""business-strategy-and-professional-development"" + 0.028*""museum"" + 0.027*""cognitive-science"" + 0.026*""comedy"" + 0.026*""german-culture"" + 0.026*""german-conversation"""
58,"0.049*""legal-and-business"" + 0.048*""law"" + 0.047*""legal-professionals"" + 0.041*""lawyers"" + 0.039*""legal-networking"" + 0.039*""lawtech"" + 0.038*""ux-ui"" + 0.036*""legal-industry"" + 0.027*""storytelling"" + 0.027*""law-practice"""
59,"0.103*""excercise"" + 0.103*""fitness"" + 0.067*""outdoors"" + 0.061*""sports"" + 0.055*""outdoor-fitness"" + 0.055*""healthy-living"" + 0.043*""social"" + 0.041*""wellness"" + 0.026*""sports-and-socials"" + 0.025*""walkers"""
60,"0.110*""bookclub"" + 0.064*""reading"" + 0.053*""co-working-space"" + 0.048*""literature"" + 0.044*""coworking-space"" + 0.035*""coworkers"" + 0.031*""readers"" + 0.028*""novel-reading"" + 0.026*""social"" + 0.025*""social-anxiety"""
61,"0.124*""collaboration-between-creative-minds"" + 0.117*""innovation"" + 0.105*""creative"" + 0.058*""open-data"" + 0.043*""apache-spark"" + 0.034*""newtech"" + 0.023*""opensource"" + 0.020*""apache-kafka"" + 0.016*""civic-engagement-technology"" + 0.015*""knowledge-sharing"""
62,"0.068*""muslim-professionals"" + 0.059*""muslim"" + 0.058*""education"" + 0.034*""art-galleries"" + 0.030*""social-justice"" + 0.027*""muslim-women"" + 0.026*""converts-to-islam"" + 0.024*""new-muslims"" + 0.022*""muslim-business-professionals"" + 0.021*""muslim-singles"""
63,"0.157*""graphicdesign"" + 0.051*""applied-statistics"" + 0.049*""game-night"" + 0.039*""webdesign"" + 0.031*""engineering"" + 0.029*""mathematics"" + 0.028*""creative"" + 0.023*""creative-design"" + 0.023*""networking-for-graphic-designers-marketing-pros"" + 0.018*""graphic-design-professionals"""
64,"0.067*""css"" + 0.052*""software-craftsmanship"" + 0.041*""html"" + 0.035*""smart-sensors"" + 0.033*""smart-cities"" + 0.023*""airbnb"" + 0.022*""street-photography"" + 0.021*""sustainable-cities"" + 0.019*""software-design"" + 0.019*""photo-walks"""
65,"0.075*""french"" + 0.043*""expatfrench"" + 0.039*""skeptics"" + 0.037*""humanism"" + 0.034*""science"" + 0.032*""french-culture"" + 0.031*""freethinker"" + 0.029*""atheists"" + 0.023*""francophone-culture"" + 0.018*""french-students"""
66,"0.107*""communication-skills"" + 0.100*""publicspeaking"" + 0.083*""leadership"" + 0.077*""prodev"" + 0.075*""self-improvement"" + 0.066*""fear-of-public-speaking"" + 0.063*""presentations"" + 0.062*""toastmasters"" + 0.053*""personal-development"" + 0.046*""communication"""
67,"0.061*""microservices"" + 0.049*""continuous-integration"" + 0.047*""kubernetes"" + 0.044*""brand-design"" + 0.033*""latino-culture"" + 0.032*""b2b"" + 0.031*""career-executive-placement-job-search-resume"" + 0.029*""b2b-marketing"" + 0.026*""investment-education"" + 0.023*""b2b-content-marketing"""
68,"0.099*""conversation"" + 0.088*""healthcare-innovation"" + 0.061*""digital-health"" + 0.060*""healthcare-professionals"" + 0.058*""healthcare-it"" + 0.043*""health-information-technology"" + 0.035*""medical-device-technology"" + 0.028*""health-2-0"" + 0.027*""professional-networking"" + 0.021*""mobile-health"""
69,"0.086*""spanish"" + 0.058*""dinner-and-drinks"" + 0.048*""fun-and-laughter"" + 0.038*""espanol"" + 0.029*""spanish-culture"" + 0.027*""spanish-english-language-exchange"" + 0.025*""happy-hours"" + 0.023*""private-equity"" + 0.022*""freelancers-contractors-smes"" + 0.022*""rock-music"""
70,"0.135*""data-analytics"" + 0.108*""big-data"" + 0.107*""data-visualization"" + 0.103*""data-science"" + 0.082*""data-mining"" + 0.080*""big-data-analytics"" + 0.071*""predictive-analytics"" + 0.069*""businessintell"" + 0.067*""machine-learning"" + 0.031*""business-analytics"""
71,"0.083*""coders"" + 0.050*""clubbing"" + 0.049*""hackathons"" + 0.048*""social-coding"" + 0.041*""payment-systems"" + 0.031*""investment-banking"" + 0.031*""partying"" + 0.030*""hacking"" + 0.023*""hedge-fund"" + 0.019*""mobile-payment"""
72,"0.104*""culture"" + 0.055*""growth-hacking"" + 0.049*""history"" + 0.043*""cultural-activities"" + 0.037*""google-analytics"" + 0.036*""web-analytics"" + 0.028*""manchester"" + 0.027*""arts"" + 0.027*""technology-innovation"" + 0.021*""landlord-and-property-managers"""
73,"0.093*""information-security"" + 0.078*""network-security"" + 0.073*""cybersecurity"" + 0.073*""computer-security"" + 0.062*""cloud-security"" + 0.053*""web-security"" + 0.040*""web-application-security"" + 0.039*""software-security"" + 0.031*""ethical-hacker"" + 0.031*""application-security"""
74,"0.070*""board-games"" + 0.060*""games"" + 0.060*""gaming"" + 0.050*""futures-trading"" + 0.036*""options-trading"" + 0.035*""cardgame"" + 0.032*""freelance-communication-marketing-professionals"" + 0.027*""automation"" + 0.026*""crowdsourcing"" + 0.025*""freelance-content-writers"""
75,"0.091*""community-building"" + 0.064*""business-to-business-network-marketing"" + 0.056*""business-to-business"" + 0.053*""biotechnology"" + 0.042*""business-growth"" + 0.041*""accounting"" + 0.039*""object-oriented-programming"" + 0.033*""small-business-accounting"" + 0.030*""life-sciences"" + 0.022*""accountant"""
76,"0.044*""design-thinking"" + 0.041*""magento"" + 0.040*""business-innovation"" + 0.032*""innovation"" + 0.028*""magento-developers"" + 0.028*""magento-meetups"" + 0.025*""magento-enterprise"" + 0.024*""business-model-innovation"" + 0.023*""service-design"" + 0.022*""php"""
77,"0.085*""blackbiz"" + 0.072*""black-entrepreneurs"" + 0.053*""black-women"" + 0.042*""humanrights"" + 0.041*""vegan"" + 0.032*""vegetarian"" + 0.027*""black-men"" + 0.024*""young-black-professionals"" + 0.020*""meteor"" + 0.019*""african-professionals"""
78,"0.062*""lgbtfriends"" + 0.056*""fashion-design"" + 0.043*""lgbt-social-group"" + 0.042*""fashion"" + 0.041*""gay"" + 0.041*""fashionista"" + 0.037*""clothing-and-fashion-designers"" + 0.037*""gay-men"" + 0.030*""modeling"" + 0.024*""funding"""
79,"0.233*""internet-of-things"" + 0.068*""newtech"" + 0.068*""womens-support"" + 0.065*""iot-hacking"" + 0.047*""smart-home"" + 0.036*""sensors"" + 0.024*""computer-programming"" + 0.022*""hardware"" + 0.022*""application-development"" + 0.018*""open-source-hardware"""
80,"0.166*""agile-project-management"" + 0.088*""scrum"" + 0.074*""agile-coaching"" + 0.063*""agile-transformation"" + 0.062*""agile-leadership"" + 0.060*""kanban"" + 0.056*""lean-startup"" + 0.050*""softwaredev"" + 0.044*""lean-project-management"" + 0.041*""xp"""
81,"0.139*""softwaredev"" + 0.127*""computer-programming"" + 0.126*""web-development"" + 0.124*""web"" + 0.080*""newtech"" + 0.072*""opensource"" + 0.055*""webdesign"" + 0.033*""technology"" + 0.032*""internetpro"" + 0.024*""programming-languages"""
82,"0.158*""intellectual-discussion"" + 0.062*""movies"" + 0.054*""philosophy"" + 0.050*""mindfulness"" + 0.048*""film"" + 0.048*""psychology"" + 0.039*""social"" + 0.036*""debates"" + 0.032*""movie-nights"" + 0.032*""critical-thinking"""
83,"0.127*""business-strategy"" + 0.117*""entrepreneurship"" + 0.103*""professional-networking"" + 0.100*""smallbiz"" + 0.073*""startup-businesses"" + 0.058*""small-business-marketing-strategy"" + 0.053*""business-referral-networking"" + 0.053*""marketing"" + 0.042*""socialnetwork"" + 0.040*""women-entrepreneurs"""
84,"0.059*""independent-game-development"" + 0.058*""digital-media"" + 0.043*""acting"" + 0.042*""journalism"" + 0.041*""media"" + 0.038*""mobile-game-development"" + 0.027*""newmedia"" + 0.026*""ios-game-development"" + 0.025*""journo"" + 0.025*""exploring-london"""
85,"0.127*""ia"" + 0.082*""android"" + 0.045*""ios"" + 0.043*""iphone"" + 0.023*""running"" + 0.021*""user-experience-research"" + 0.020*""qigong"" + 0.019*""over-50"" + 0.018*""tennis"" + 0.018*""ipad"""
86,"0.223*""learning"" + 0.189*""knowledge-sharing"" + 0.054*""motivation"" + 0.031*""economics"" + 0.027*""politics"" + 0.027*""activism"" + 0.026*""progmuslim"" + 0.025*""weekend-trips"" + 0.018*""c"" + 0.016*""mapping"""
87,"0.097*""music"" + 0.093*""livemusic"" + 0.070*""live-theatre"" + 0.049*""film"" + 0.048*""performing-arts"" + 0.041*""social"" + 0.032*""art"" + 0.031*""nightlife"" + 0.025*""volunteering"" + 0.018*""charity-events"""
88,"0.123*""photo"" + 0.083*""digcam"" + 0.061*""photography-classes"" + 0.043*""fashion-photography"" + 0.042*""portrait-photography"" + 0.039*""photoshop"" + 0.034*""group-photo-shoots"" + 0.034*""landscape-photography"" + 0.031*""studio-photography"" + 0.028*""nature-photography"""
89,"0.113*""travel"" + 0.085*""adventure"" + 0.078*""outdoors"" + 0.074*""walkers"" + 0.074*""hiking"" + 0.052*""weekend-adventures"" + 0.050*""outdoor-adventures"" + 0.036*""international-travel"" + 0.032*""social"" + 0.017*""camping"""
90,"0.064*""geeks-nerds"" + 0.049*""geek"" + 0.038*""google"" + 0.036*""scifi"" + 0.033*""google-technology-user-group"" + 0.032*""videogame"" + 0.031*""microsoft-technology"" + 0.031*""google-developer-group"" + 0.031*""microsft"" + 0.025*""science-fiction"""
91,"0.123*""art"" + 0.094*""datamanagement"" + 0.070*""boston-artists"" + 0.059*""creative"" + 0.056*""painting"" + 0.054*""draw"" + 0.038*""sketching"" + 0.037*""life-drawing"" + 0.032*""figuredrawing"" + 0.031*""coding-for-beginners"""
92,"0.103*""amazon-web-services"" + 0.074*""cloud-computing"" + 0.051*""iaas-infrastructure-as-a-service"" + 0.044*""ec2"" + 0.039*""high-scalability-computing"" + 0.032*""aws-programming-and-tools"" + 0.030*""aws-s3"" + 0.026*""graduate-students-and-young-professionals"" + 0.026*""microsoft-azure"" + 0.025*""high-performance-computing"""
93,"0.073*""craftswap"" + 0.059*""3d-modeling"" + 0.034*""handmade-crafts"" + 0.028*""3d-printing"" + 0.022*""urban-design"" + 0.022*""3d-artists"" + 0.019*""mswindows"" + 0.018*""powershell"" + 0.018*""print-design"" + 0.017*""makers"""
94,"0.197*""technology-startups"" + 0.151*""startup-businesses"" + 0.124*""entrepreneurship"" + 0.103*""internet-startups"" + 0.079*""newtech"" + 0.060*""lean-startup"" + 0.045*""innovation"" + 0.042*""web"" + 0.034*""professional-networking"" + 0.030*""business-strategy"""
95,"0.133*""user-experience"" + 0.113*""ux-design"" + 0.082*""ixd"" + 0.056*""ui-design"" + 0.054*""usability"" + 0.053*""mobile-user-experience"" + 0.051*""user-research"" + 0.046*""webdesign"" + 0.029*""productdesign"" + 0.023*""lean-ux"""
96,"0.083*""architecture"" + 0.051*""intdesign"" + 0.033*""publicrelations"" + 0.029*""construction-professionals"" + 0.027*""angels"" + 0.026*""social-networking-commercial-networking"" + 0.022*""networking-your-network-marketing-business"" + 0.021*""philosophy-discussions"" + 0.018*""websites"" + 0.017*""website-development"""
97,"0.175*""edtech"" + 0.156*""technology"" + 0.123*""newtech"" + 0.101*""technology-professionals"" + 0.065*""information-technology"" + 0.050*""softwaredev"" + 0.044*""mobile-technology"" + 0.041*""it-professionals"" + 0.029*""information-technology-in-business"" + 0.014*""internetpro"""
98,"0.057*""cycling"" + 0.037*""inbound-marketing"" + 0.037*""marketing-automation"" + 0.031*""selling-on-amazon"" + 0.029*""amazon-seller"" + 0.029*""online-selling"" + 0.028*""amazon"" + 0.027*""sales-training"" + 0.026*""ebaysell"" + 0.024*""africans"""
99,"0.112*""software-architecture"" + 0.068*""software-engineering"" + 0.037*""healthpros"" + 0.030*""learn-programming"" + 0.029*""entarchitecture"" + 0.023*""starting-an-e-commerce-bus"" + 0.021*""web-performance"" + 0.018*""web-services"" + 0.018*""conscious-business"" + 0.016*""positive-psychology"""
